"","TargetID","adjp","coef","coef.hrs"
"1","cg13869341",0.773378966880977,-4.09525666711398e-05,-0.00245715400026839
"2","cg14008030",0.913335502375562,4.25516363548371e-06,0.000255309818129023
"3","cg12045430",0.914476083560477,-9.66332647183058e-06,-0.000579799588309835
"4","cg20826792",0.275639204738696,-4.230074148903e-05,-0.0025380444893418
"5","cg00381604",0.903800138819363,8.31215757771793e-06,0.000498729454663076
"6","cg20253340",0.763056210334139,-2.01012526378053e-05,-0.00120607515826832
"7","cg21870274",0.932001190035525,-1.24078699688245e-05,-0.000744472198129471
"8","cg03130891",0.98814351612688,3.09003504585638e-06,0.000185402102751383
"9","cg24335620",0.841378846165587,-2.00962849189343e-05,-0.00120577709513606
"10","cg16162899",0.787823407700017,-3.69013890147927e-05,-0.00221408334088756
"11","cg17149495",0.556135444336632,-6.8131670763e-05,-0.00408790024578
"12","cg22802167",0.951975720636982,8.86908181728396e-06,0.000532144909037038
"13","cg24669183",0.726205866318383,-2.32334971426834e-05,-0.00139400982856101
"14","cg17308840",0.754409289644706,-1.08847351556074e-05,-0.000653084109336444
"15","cg17866181",0.58442698490657,-4.91831358207916e-05,-0.00295098814924749
"16","cg08477687",0.927798007975625,1.26843181482647e-05,0.000761059088895881
"17","cg00645010",0.94046588420294,9.25071479057995e-06,0.000555042887434797
"18","cg15394630",0.944700853959474,7.49901982950125e-06,0.000449941189770075
"19","cg23917638",0.897018939586961,1.46157309591376e-05,0.000876943857548254
"20","cg18024856",0.976836906699703,7.35005387834275e-06,0.000441003232700565
"21","cg18761878",0.974611675390195,-2.8243814565983e-06,-0.000169462887395898
"22","cg27534567",0.963507071477875,9.88798018880231e-06,0.000593278811328138
"23","cg21996134",0.852923225322039,7.654911632505e-06,0.0004592946979503
"24","cg07264491",0.92660841259172,-3.9948697854175e-06,-0.00023969218712505
"25","cg15560884",0.838260870508204,-7.27761409492114e-06,-0.000436656845695268
"26","cg10037654",0.988860493697346,-1.18882143931044e-06,-7.13292863586266e-05
"27","cg14057946",0.690949804184193,-1.3198569200245e-05,-0.000791914152014701
"28","cg11422233",0.817538064651534,-1.24959081023075e-05,-0.000749754486138451
"29","cg16047670",0.616545934588897,-5.7477898430093e-05,-0.00344867390580558
"30","cg18263059",0.681378610123258,-6.29755630606948e-05,-0.00377853378364169
"31","cg01014490",0.981213757971369,3.70464243056453e-06,0.000222278545833872
"32","cg04231937",0.883033572561164,-1.98611848708656e-05,-0.00119167109225194
"33","cg04496485",0.694223091584813,-2.5185544589081e-05,-0.00151113267534486
"34","cg17505339",0.932001190035525,-7.21943278693191e-06,-0.000433165967215915
"35","cg09989996",0.663722784900626,-9.50629760759743e-06,-0.000570377856455846
"36","cg11954957",0.956290677152475,5.45631551692858e-06,0.000327378931015715
"37","cg01068023",0.974066508304766,5.20456669718247e-06,0.000312274001830948
"38","cg08167039",0.989303699755255,1.65252768803245e-06,9.91516612819471e-05
"39","cg20677962",0.975631508981814,-2.68495915436946e-06,-0.000161097549262168
"40","cg06402284",0.989645289494473,-1.61859698096784e-06,-9.71158188580704e-05
"41","cg24699430",0.994711139640719,-6.61945298950077e-07,-3.97167179370046e-05
